BTPBH,Paro
CZLCY,Libchavy
CZLBR,Liberec
CZLZI,Libeznice
CZKLU,Libice nad Cidlinou
CZLBS,Libis
CZLBL,Liblice
CZLIC,Libochovany
CZLBI,Libochovice
CZLIB,Libosovice
CZLST,Libstát
CZLAB,Libun
CZLBN,Libusin
CZLCH,Lichkov
CZLIN,Line
CZLNY,Líny
CZLPI,Lípa
CZOLU,Lipnik nad Becvou
CZSLC,Lipnik u Hrotovic
CZLIP,Lipno
CZLIO,Lipov
CZZZL,Liptál
CZKKL,Lisice
CZLIS,Lísková u Nemanic
CZLIV,Lisov
CZLIT,Liten
CZLCE,Litice
CZLTC,Litomerice
CZLMS,Litomysl
CZLTV,Litovel
CZLVV,Litvínov
CZLOB,Lobodice
CZLNI,Lochenice
CZLUK,Lochovice
CZLOD,Lodenice
CZLOM,Lomnice nad Popelkou
CZOLE,Lostice
CZLCN,Loucen
CZOOU,Loucna Nad Desnou
CZJLE,Loucovice
CZLKA,Louka
CZLUT,Louka
CZLOK,Loukov
CZLOU,Louny
CZLOV,Lovcice
CZLVC,Lovosice
CZLBC,Lubenec
CZSUA,Lubna
CZLBY,Luby
CZLNN,Lucany nad Nisou
CZLGV,Ludgerovice
CZLKV,Ludkovice
CZLUL,Luhacovice
CZLNJ,Luka Nad Jihlavou
CZLUP,Lukavec u Pacova
CZLUE,Lukavice
CZLCC,Lulec
CZLUS,Lustenice
CZLUI,Lutin
CZLZE,Luze
CZLZV,Luzec Nad Vltavou
CZLZK,Luzkovice
CZLUA,Luzna
CZLUZ,Luzna
CZLYL,Lysá nad Labem
CZLYS,Lysice
CZMHV,Machov
CZ3LZ,Machova
CZMSV,Malé Svatonovice
CZMVE,Malenovice
CZM2V,Malkov
CZMAN,Manetín
CZMME,Mankovice
CZMAE,Maratice
CZMKA,Mariánské Lázne
CZMCH,Mechnov
CZMED,Medlesic
CZMLV,Medlov
CZMEL,Melnik
CZMLK,Melník
CZMEJ,Menín
CZMRN,Merin
CZMKN,Merklín
CZMLI,Merklín
CZMAR,Merklin u Karlovych Var
CZMES,Mesice
CZMTO,Mesto Touskov
CZMZA,Mezimestí
CZVMA,Mezimesti u Broumova
CZMNV,Michnov
CZJME,Mikulcice
CZMKL,Mikulov
CZMCA,Mikulovice
CZMIL,Milevsko
CZMLN,Milín
CZMII,Milotice
CZMIB,Milotice nad Becvou
CZMIO,Milovice
CZMMN,Mimon
CZSLV,Miroslav
CZMVA,Mirova
CZMRC,Mirovice
CZMBV,Mladá Boleslav
CZMVZ,Mlada Vozice
CZBKY,Mlade Buky
CZMLA,Mladotice
CZMNI,Mnichov
CZMHC,Mnichovice
CZMHT,Mnichovo Hradiste
CZMPB,Mnisek pod Brdy
CZMOH,Mochov
CZMCV,Mocovice
CZMDL,Modlany
CZMOD,Modletice
CZMDR,Modrice
CZMHI,Mohelnice
CZMHL,Mohelnice
CZMOK,Mokrá
CZMK8,Mokrá
CZMKH,Mokrá-Horákov
CZMOL,Mokre Lazce
CZMK3,Mokrovraty
CZOLD,Moldava
CZMTV,Molitorov
CZMNY,Moravany
CZPMY,Moravany
CZMOR,Moravicany
CZMNS,Moravská Nová Ves
CZMVB,Moravská Trebová
CZVME,Moravske Budejovice
CZMYB,Moravský Beroun
CZMKV,Moravsky Krumlov
CZMRA,Moravsky Pisek
CZMZV,Moravsky Zizkov
CZMKO,Morkov
CZMVS,Morkovice-Slízany
CZMOS,Mosnov
CZMST,Most
CZMTK,Mostek
CZMVC,Mostkovice
CZMJB,Mosty u Jablunkova
CZMTN,Moutnice
CZMZL,Msené-Lázne
CZSOM,Mseno
CZMUV,Mukarov
CZMEE,Mutenice
CZMDY,Mydlovary
CZMYE,Myslocovice
CZMYO,Myto
CZMYT,Myto/Cesky Krumlov
CZNAA,Nachod
CZNHY,Nahorany
CZNAM,Námest nad Oslavou
CZNPJ,Napajedla
CZNSY,Nasavrky
CZNUB,Nebovidy
CZNEC,Nechanice
CZDAK,Nedakonice
CZNED,Nedasova Lhota
CZNEH,Nehvizdy
CZNEJ,Nejdek
CZNLH,Nelahozeves
CZNME,Nemcice
CZNMY,Nemcicky
CZNMC,Nemcicky u Brna
CZNMT,Nemetice
CZNIE,Nemile
CZNPH,Neplachov
CZNPK,Nepomuk
CZNPV,Neprevázka
CZNRT,Neratovice
CZNTL,Neratovice Lobkovice
CZNLV,Neslovice
CZNIC,Nestemice
CZNTN,Netín
CZNET,Netolice
CZNVI,Netovice
CZNEV,Netvorice
CZNEZ,Nezvestice
CZNSE,Nisovice
CZNVC,Nivnice
CZNBR,Nizbor
CZMK4,Nizni Lhoty
CZNVS,Nosovice
CZNOU,Noutonice
CZNCA,Nová Bystrice
CZVOD,Nova Hospoda
CZPAK,Nová Paka
CZNRL,Nová Role
CZNOE,Nová Ves
CZNVB,Nové Bránice
CZNVY,Nove Dvory
CZNHD,Nové Hrady
CZNLS,Nove Losiny
CZNMO,Nové Mesto na Morave
CZNMN,Nové Mesto nad Metují
CZNWS,Nové Mesto pod Smrkem
CZ5MJ,Nove Mlyny
CZNML,Nove Modlany
CZNST,Nové Strasecí
CZNEE,Nove Veseli
CZNVE,Nové Veselí
CZNZA,Nové Zámky
CZNVL,Novosedly
CZNOB,Novy Bor
CZNBY,Novy Bydzov
CZNHK,Nový Hrádek
CZNHV,Novy Hrozenkov
CZNJC,Novy Jicín
CZOVV,Novy Knin
CZNYC,Novy Rychnov
CZ8PL,Novy Saldorf
CZNVV,Nový Vestec
CZNCI,Nucice
CZNUP,Nupaky
CZNMB,Nymburk
CZNRY,Nýrany
CZPNO,Nyrsko
CZOCB,Obecnice
CZOBT,Obríství
CZODO,Odolena Voda
CZODV,Odolena Voda
CZODE,Odolenovice
CZODY,Odry
CZOKY,Okrisky
CZOKR,Okrouhlice
CZOLH,Oldrichov v Hájích
CZOSA,Olesna
CZOLC,Olesnice
CZJOE,Olesnice Na Morave
CZOLO,Olomouc
CZOLV,Olovi
CZOLS,Olsany
CZOLY,Olsany
CZOUS,Olsany u Sumperka
CZOEC,Olsovec
CZOMO,Omoljica
CZOND,Ondrejov
CZOPY,Oparany
CZOPV,Opatov
CZONL,Opatovice nad Labem
CZOPA,Opava
CZOCX,Opocno
CZOAV,Oracov
CZORV,Orechov
CZMOA,Orlova
CZONB,Osek nad Becvou
CZOSI,Osice
CZPAO,Osik
CZOKV,Oskava
CZOZ9,Oskava
CZOSY,Oslavany
CZOBA,Osoblaha
CZOSV,Osov
CZOTT,Ostrata
CZOSR,Ostrava
CZORE,Ostravice
CZOTR,Ostretin
CZOST,Ostromer
CZONO,Ostrov
CZOTO,Ostrov nad Oslavou
CZOSS,Ostrov u Stríbra
CZOAE,Ostrovacice
CZONV,Ostrozská Nová Ves
CZOTI,Otice
CZONC,Otnice
CZOTV,Otovice
CZOTC,Otrokovice
CZOVC,Otvovice
CZOUC,Oucmanice
CZOVY,Ovcáry
CZPAC,Pacov
CZPNB,Panenské Brezany
CZPRB,Pardubice
CZPND,Paseky nad Jizerou
CZPSV,Paskov
CZ5PV,Pastviny
CZPAV,Pavlov
CZPVO,Pavlov
CZPVV,Pavlov
CZPPO,Pavlovice u Prerova
CZPKY,Pecky
CZPEL,Pelhrimov
CZMMJ,Pelhrimovy
CZPEN,Pencin
CZPNC,Pencín
CZPTV,Petrov
CZSKP,Petrovice
CZPKA,Petrovice u Karviné
CZTRL,Petrvald
CZPEV,Petrvald
CZPPU,Pisecna u Jeseniku
CZPSK,Pisek
CZPSN,Písnice
CZANA,Planá
CZPLN,Plana nad Luznici
CZPXL,Planá nad Luznicí
CZPAU,Plana u Marianskych Lazni
CZPLA,Planany
CZPSY,Plasy
CZPVY,Plavy
CZPLS,Plesna
CZPYD,Pleteny Ujezd
CZPLZ,Plzen
CZPZO,Pobezovice
CZPOC,Pocatky
CZPBY,Podborany
CZEZI,Podbrezí
CZPOD,Podebrady
CZPDV,Podivin
CZVXC,Podolanka
CZPDL,Podoli
CZPDX,Podomí
CZPRE,Pohorelice
CZJPA,Pohorelice U Brna
CZPLY,Polepy
CZPOL,Polerady
CZ4PO,Polesovice
CZPLO,Polevsko
CZPNJ,Police nad Metují
CZPLK,Policka
CZPNA,Polna
CZKPY,Polna U Jihlavy
CZOHA,Pomezí nad Ohrí
CZLPA,Ponikla
CZPOP,Popuvky
CZPOU,Popuvky
CZPCN,Porícany
CZPRS,Poríci nad Sázavou
CZUPY,Postoloprty
CZPBJ,Postorna
CZPLV,Postrelmov
CZPZN,Postrizín
CZOPT,Potstat
CZPOT,Potucky-silnice
CZPOO,Potvorov
CZPZY,Pouzdrany
CZPZE,Pozorice
CZPRT,Prachatice
CZP4A,Prachovice
CZPDO,Prádlo
CZ,Prague = Praha
CZXUY,Prague-Vinohrady
CZPRG,Praha
CZPKC,Praskacka
CZPRZ,Prazmo
CZPOJ,Predboj
CZPRD,Predín
CZPUT,Predklásteri
CZPRJ,Predmerice nad Jizerou
CZPNL,Predmerice nad Labem
CZPLC,Prelouc
CZPRY,Premyslovice
CZPRV,Prerov
CZXNL,Prerov nad Labem
CZPOV,Prestanov
CZPST,Prestice
CZPLT,Prezletice
CZPBR,Príbor
CZPRI,Pribram
CZPBA,Pribyslav
CZPCV,Prichovice
CZPII,Prichovice
CZPIC,Prisovice
CZPTY,Pritluky
CZPBT,Probostov
CZPSE,Prosenice
CZPRL,Prosenická Lhota
CZPRM,Prosimerice
CZPRO,Prostejov
CZJPN,Protivin
CZPVN,Provodín
CZPHE,Pruhonice
CZPRU,Prunérov
CZPUK,Prusánky
CZ7JK,Psáry
CZPTI,Ptení
CZPYS,Pysely
CZRAB,Ráby
CZRAC,Racice
CZRVC,Rácovice
CZRDR,Radimer
CZVRP,Radnice u Plzne
CZRAU,Radonice
CZRDN,Radonice
CZRNO,Radostín nad Oslavou
CZRAD,Radotín
CZRVN,Radovesnice
CZRDV,Radvanice
CZRJS,Rajec-Jestrebi
CZRJK,Rájecko
CZRAJ,Rajhrad
CZRAK,Rakovník
CZRKV,Rakvice
CZRPO,Rapotice
CZRAT,Rapotín
CZRSS,Rasosky
CZRSP,Raspenava
CZRKO,Ratískovice
CZCVR,Recice
CZREP,Repníky
CZREV,Repov
CZREC,Revnice
CZRNC,Revnicov
CZRCY,Rícany
CZRUP,Ricany u Prahy
CZRIV,Ríkov
CZXXX,RIS Inland waterways
CZZKQ,Rohatec
CZOLR,Rohle
CZRKC,Rokycany
CZRNJ,Rokytnice nad Jizerou
CZKRH,Rokytnice v Orlickych Horach
CZRUR,Rosice
CZRTV,Rotava
CZRNL,Roudnice nad Labem
CZRSV,Rousinov
CZS4Y,Rovensko pod Troskami
CZRZD,Rozd'alovice
CZRPT,Rozmitál pod Tremsinem
CZRVR,Roznov pod Radhostem
CZRPR,Roznov pod Radhosthem
CZRZT,Roztoky
CZRZA,Rozvadov
CZRNB,Rtyne nad Bílinou
CZRPD,Rtyne V Podkrkonosi
CZRUD,Rudná
CZRPY,Rudna u Prahy
CZRDK,Rudník
CZRUK,Rumburk
CZRUA,Rumburk
CZRBV,Rybitvi
CZRNK,Rychnov nad Kneznou
CZRJN,Rychnov u Jablonce Nad Nisou
CZRYH,Rychnovek
CZRCV,Rychvald
CZRYM,Rymarov
CZRYN,Rynoltice
CZSDV,Sadov
CZSAD,Sadská
CZJK6,Sakvice
CZSAP,Saplava
CZSDI,Sardice
CZSAA,Satov
CZSAZ,Sázava
CZSAC,Sebranice
CZSAI,Sebranice
CZSED,Sedlcany
CZNKN,Sedlec
CZSSP,Sedlec-Prcice
CZSDB,Sedlice u Blatne
CZSDL,Sedliste
CZSEM,Semcice
CZSML,Semily
CZSNH,Senice na Hané
CZBTS,Senicka
CZSNR,Senohraby
CZSNO,Senov
CZSEN,Senov Ostrava Mesto
CZSEV,Sevetin
CZSZM,Sezemice
CZSZC,Sezemice
CZSEZ,Sezimovo Ústí
CZSIB,Sibrina
CZSIV,Sivice
CZSKU,Skalice
CZSSX,Skalice nad Svitavou
CZSCL,Skalice u Ceske Lipy
CZSKA,Skalná
CZSKR,Skrivany
CZSNB,Skuhrov nad Belou
CZSKT,Skutec
CZSKV,Skvorec
CZSLY,Slaný
CZSNE,Slapanice
CZSLA,Slapy
CZSTA,Slatina
CZSNY,Slatinany
CZSVN,Slavicín
CZSUH,Slavkov
CZSVB,Slavkov u Brna
CZULV,Sluknov
CZSSV,Slusovice
CZSLE,Slustice
CZSMO,Smíchov
CZSDY,Smidary
CZCRS,Smilovice
CZSMR,Smirice
CZSME,Smrzice
CZOVK,Smrzovka
CZSBE,Sobeslav
CZSOV,Sobesovice
CZSOB,Sobotín
CZSBA,Sobotka
CZSOK,Sokolov
CZSOL,Solnice
CZSOE,Sousedovice
CZSPR,Spáléne Porící
CZSKY,Spicky
CZSPY,Spytihnev
CZ7OW,Srbská
CZSRH,Srch
CZSTD,Stádlec
CZPSO,Stankov
CZSUZ,Stankovice U Zatce
CZSBO,Stará Boleslav
CZSRO,Stará Role
CZSAV,Stará Voda
CZSHD,Staré Hradiste
CZKCY,Stare Krecany
CZSTM,Staré Mesto
CZST2,Staré Mesto pod Sneznikem
CZZSE,Stare Mesto u Uherskeho Hradiste
CZSZD,Staré Zdánice
CZSRC,Staríc
CZSVC,Starovice
CZSBV,Stary Bydzov
CZSHZ,Stary Hrozenkov
CZSPC,Stary Plzenec
CZSYV,Starý Vestec
CZSNC,Statenice
CZSTE,Stechovice
CZSLS,Stehelceves
CZENO,Stenovice
CZSTP,Stepánov
CZSNK,Stepanov nad Svratkou
CZSTB,Sternberk
CZSTT,Stetí
CZKSY,Stezery
CZSIT,Stitina
CZSNV,Stítná nad Vlárí
CZSTH,Stochov
CZSUP,Stod u Plzne
CZS9N,Strachotín
CZSKN,Strakonice
CZSTC,Strancice
CZSTN,Strání
CZSSC,Strasice
CZSVO,Straskov
CZSNN,Stráz nad Nisou
CZSZR,Straz pod Ralskem
CZOTA,Strazna
CZSZN,Strázné
CZSTR,Stráznice
CZSZA,Strázny
CZSTZ,Strazov
CZSZV,Strazovice
CZSZ2,Strázovice
CZSEY,Stredokluky
CZSTL,Strelice
CZSRL,Strelna
CZBRA,Stribrna Skalice
CZSBR,Stríbro
CZ9YI,Strílky
CZSIZ,Strítez
CZSMV,Strmilov
CZSRT,Struharov
CZSEB,Strunkovice nad Blanicí
CZSRZ,Struznice
CZSTY,Studanky
CZSTU,Studená
CZSRV,Studenka
CZSLZ,Suchá Loz
CZLDU,Suchdol nad Odrou
CZOSL,Suché Lazce
CZSCM,Suchohrdly
CZUHY,Suchy
CZSDC,Sudice
CZSUK,Sudkov
CZSUD,Sudomerice
CZSKD,Sukorady
CZSUL,Sulice
CZSUM,Sumperk
CZSPK,Supíkovice
CZSUS,Susice
CZAAA,Svatava
CZVSR,Svatoborice
CZSVK,Svaty Kriz
CZMSA,Svetla Hora
CZSNS,Svetlá nad Sázavou
CZSPJ,Svetlá pod Jestedem
CZSDO,Sviadnov
CZSVY,Svijany
CZSVI,Svitávka
CZSTV,Svitavy
CZSVE,Svojsice
CZSVR,Svrkyne
CZOEV,Syrovice
CZSXR,Syrovice
CZSYR,Syrovín
CZTBR,Tabor
CZTAB,Tábor
CZTAH,Tachlovice
CZTAC,Tachov
CZTVA,Tanvald
CZTEC,Techonín
CZTCV,Tecovice
CZSHC,Tehovec
CZTLC,Telc
CZTC9,Telce
CZCET,Telnice
CZTML,Temelín
CZTPL,Teplá
CZTEP,Teplice
CZTNM,Teplice nad Metují
CZUTN,Terezin
CZTZK,Terlicko
CZTES,Tesovice
CZATH,Tichá
CZTSC,Tisice
CZTIS,Tisnov
CZTLU,Tlumacov
CZTOP,Topolna
CZTOM,Touzim
CZTOV,Tovacov
CZMTE,Tranovice
CZTRV,Trebarov
CZTPO,Trebechovice pod Orebem
CZTBE,Treben
CZTRN,Trebenice
CZTSO,Trebestovice
CZTRB,Trebíc
CZTBV,Trebísov
CZTBN,Trebon
CZTBD,Treboradice
CZTRE,Trebotov
CZTMS,Tremosná
CZTMO,Tremosnice
CZTRT,Trest
CZTHV,Trhanov
CZTSY,Trhove Sviny
CZTHS,Trhové Sviny
CZSTO,Trhovy Stepanov
CZTNC,Trinec
CZTRM,Trmice
CZVKA,Trnavka
CZTRO,Trnovany
CZTBO,Troubsko
CZTRS,Trsice
CZTRU,Trutnov
CZTPC,Tucapy
CZTUC,Tuchomerice
CZTUP,Tupesy
CZTUR,Turnov
CZTSK,Tursko
CZTVC,Tvorovice
CZTDI,Tvrdonice
CZTNV,Tyn nad Vltavou
CZTYL,Týnec nad Labem
CZTAS,Týnec nad Sázavou
CZTNO,Tyniste nad Orlici
CZUHC,Úhelnice
CZUHE,Uherské Hradiste
CZUBR,Uherský Brod
CZUH2,Uhersky Ostroh
CZSJV,Uhlirske Janovice
CZUKY,Uholicky
CZUJZ,Ujezd
CZUJE,Ujezdecek
CZUMN,Úmonín
CZUHO,Unhost
CZUCV,Unicov
CZUPI,Upice
CZUBO,Úsobrno
CZUSV,Usov
CZUST,Ústek
CZULN,Ustí nad Labem
CZUOI,Ústí nad Orlicí
CZUVA,Úvalno
CZUVY,Uvaly
CZUZK,Uzice
CZJVV,Vacov
CZVPK,Valasska Polanka
CZVPL,Valasská Polanka
CZZVY,Valasske Klobouky
CZVMZ,Valasské Mezirící
CZVTC,Valtice
CZSKL,Valtínov
CZVMB,Vamberk
CZVNA,Vanovice
CZVNE,Vanovice
CZVFA,Varnsdorf
CZVAS,Vasirov
CZVEJ,Vejprnice
CZVPT,Vejprty
CZVLC,Velecin
CZVB2,Veleliby
CZMIN,Velemin
CZVMY,Velemysleves
CZVLN,Velen
CZVLS,Velesin
CZVEL,Veletov
CZVES,Velika Ves
CZVUK,Velim u Kolina
CZVEB,Velká Bítes
CZVBT,Velká Bystrice
CZVDA,Velka Dobra
CZVHS,Velka Hled'sebe
CZVLX,Velká Losenice
CZVNV,Velká nad Velickou
CZVPM,Velka Polom
CZVBO,Velké Bílovice
CZLKE,Velké Brezno
CZCMO,Velke Hostice
CZVKC,Velké Karlovice
CZVMI,Velké Mezirící
CZVMC,Velké Nemcice
CZVCE,Velké Opatovice
CZVPA,Velke Pavlovice
CZVPO,Velké Popovice
CZVPC,Velke Porici
CZVOS,Velký Osek
CZVKS,Velký Senov
CZTYC,Velký Týnec
CZVLT,Veltruby
CZVVY,Velvary
CZVLV,Velvety
CZVIC,Vermerovice
CZVNC,Vernerice
CZVER,Verovice
CZJVI,Veseli nad Luznici
CZVNM,Veselí nad Moravou
CZPRC,Vestec
CZVEE,Vestec
CZVTK,Vetrkovice
CZVTI,Vetrní
CZVAA,Veverská Bityska
CZVVK,Veverské Knínice
CZVNJ,Vichova nad Jizerou
CZVVC,Vidovice
CZOVE,Vikyrovice
CZVIL,Vilémov
CZVIM,Vimperk
CZVNI,Vinarice
CZVNR,Vinor
CZVIN,Vintirov
CZVSN,Visnove
CZMOV,Vitkov
CZVZI,Vizovice
CZVLM,Vlasim
CZVLK,Vlkos
CZVDY,Vodnany
CZVOO,Vodochody
CZVJO,Vojkovice
CZVJA,Vojtanov
CZVRY,Volary
CZVCR,Volduchy
CZVYN,Volyne
CZVRV,Vortová
CZVOT,Votice
CZVRX,Vraclav
CZVVR,Vracov
CZVNY,Vranany
CZVRN,Vrané nad Vltavou
CZVTM,Vratimov
CZVRZ,Vraz
CZVTW,Vrbatky
CZVRB,Vrbicany
CZVPP,Vrbno pod Pradedem
CZVBC,Vrbovec
CZVRC,Vrchlabí
CZVRJ,Vrchotovy Janovice
CZVSA,Vresina
CZVRE,Vresova
CZVSV,Vsechov
CZVHV,Vsechovice
CZVHY,Vsechromy
CZVLB,Vselibice
CZVSX,Vseliby
CZVSD,Vseradice
CZVBY,Vseruby
CZVSE,Vsetaty
CZVST,Vsetín
CZVKV,Vyskov
CZVYS,Vyskytna
CZVYC,Vysocany
CZVKL,Vysoká Liben
CZSVP,Vysoká Pec
CZVMO,Vysoké Myto
CZVVI,Vysoké Veselí
CZVCH,Vysoky Chlumec
CZOYE,Vysovice
CZVYB,Vyssi Brod
CZZBC,Zabcice
CZZAY,Zabokrky
CZZAB,Zábreh
CZZNM,Zabreh na Morave
CZZCR,Zaclér
CZZZB,Zadni Zborovice
CZZHI,Záhorí
CZZAH,Zahostice
CZZJI,Zajecí
CZZKY,Zákolany
CZZKP,Zakupy
CZZLA,Zalany
CZZAZ,Zaluzany
CZZAM,Zamberk
CZZRK,Zámrsk
CZSWQ,Zaravice
CZZRY,Záryby
CZZAS,Zasmuky
CZZSV,Zasová
CZZUB,Zastávka
CZZ2Q,Zatcany
CZZAT,Zatec
CZZZE,Zborovice
CZZBV,Zbraslav
CZZLE,Zbraslavice
CZPZH,Zbuch
CZZBU,Zbuzany
CZZBL,Zbyslavice
CZJZB,Zbysov
CZZCE,Zdánice
CZZDA,Zdánice
CZZCK,Zdánice (Kolín)
CZZDM,Zdar nad Metuji
CZZNS,Zdár nad Sázavou
CZZDR,Zd'ár u Mnichova Hradiste
CZZDE,Zdechovice
CZZBY,Zdiby
CZZDI,Zdice
CZZDK,Zdikov
CZLZC,Zdirec
CZZND,Zdírec Nad Doubravkou
CZL4L,Zdislavice
CZZDC,Zdislavice
CZZDV,Zdislavice
CZZEB,Zebrák
CZZTE,Zelatovice
CZZLC,Zelechovice
CZZCD,Zelechovice nad Drevnicí
CZZEL,Zelenec
CZZLK,Zelenky
CZZTV,Zeletava
CZSZE,Zelevcice
CZRDA,Zelezná Ruda
CZZ8K,Zeleznice
CZZYB,Zelezny Brod
CZZLV,Zidlochovice
CZZIV,Zirovnice
CZZIT,Zitkova
CZZIZ,Zizice
CZKOA,Zlata Koruna
CZZHR,Zlate Hory
CZZLB,Zleby
CZZCN,Zlícín
CZZLN,Zlin
CZZLI,Zliv
CZZNC,Zlonice
CZZLU,Zlunice
CZZMO,Znojmo
CZZUC,Zruc
CZZRS,Zruc nad Sázavou
CZZBR,Zubri
CZOZA,Zulova
CZZVE,Zverínek
CZZVO,Zvoleneves
LOCODE,Name
CLACH,Achao
CLALG,Algarrobo
CLALH,Alhué
CLABB,Alto Bío Bío
CLADC,Alto del Carmen
CLAHP,Alto Hospicio
CLWAP,Alto Palena Apt
CLM9Z,Ancoa
CLZUD,Ancud
CLAND,Andacollo
CLANG,Angol
CLANF,Antofagasta
CLANT,Antuco
CLARA,Arauco
CLARI,Arica
CLAYA,Ayacara
CLBLR,Bahia Laredo
CLBAG,Bahía San Gregorio
CLBBA,Balmaceda
CLBAQ,Baquedano
CLBAR,Barquito
CLBUI,Buin
CLBUL,Bulnes
CLCBD,Cabildo
CLCHR,Cabo de Hornos
CLCNX,Cabo Negro
CLCAB,Cabrero
CLCJC,Calama
CLCBC,Calbuco
CLCLD,Caldera
CLCAA,Calderilla
CLCDT,Calera de Tango
CLCLR,Caleta Clarencia
CLCOL,Caleta Coloso
CLCAL,Caleta Patillos
CLCLL,Calle Larga
CLCAM,Camarones
CLCMA,Camiña
CLBBH,Campamento Barahona
CLCMP,Campanario
CLCAN,Canela
CLCTE,Cañete
CLCAR,Carahue
CLCRH,Carahue
CLCGN,Cartagena
CLCAS,Casablanca
CLWCA,Castro
CLCAT,Catemu
CLCAU,Cauquenes
CLCER,Cerrillos
CLCNV,Cerro Navia
CLSMB,Cerro Sombrero
CLCHB,Chacabuco
CLCCA,Chacao
CLCHG,Chagres
CLWCH,Chaitén
CLCNR,Chañaral
CLCHA,Chanco
CLB7X,Charrua
CLCHE,Chépica
CLCCO,Chicureo
CLCHI,Chiguayante
CLCCH,Chile Chico
CLYAI,Chillán
CLCHV,Chillán Viejo
CLCBG,Chimbarongo
CLCHL,Cholchol
CLCHO,Chonchi
CLCHU,Chuquicamata
CLCBQ,Cobquecura
CLCMO,Cochamó
CLCOC,Cochrane
CLCOD,Codegua
CLCOE,Coelemu
CLCOI,Coihueco
CLCOO,Coinco
CLCOB,Colbún
CLCNE,Colchane
CLCLN,Colina
CLCPI,Collipulli
CLCTC,Coltauco
CLCBB,Combarbalá
CLCCP,Concepción
CLCLI,Conchalí
CLCON,Concón
CLCST,Constitución
CLCTM,Contulmo
CLCPO,Copiapó
CLCQQ,Coquimbo
CLCNL,Coronel
CLCRR,Corral
CLCXQ,Coyhaique
CLCGR,Cruz Grande
CLCUN,Cunco
CLCCN,Curacautín
CLCRV,Curacaví
CLCDV,Curaco de Vélez
CLCRN,Curanilahue
CLCRE,Curarrehue
CLCRM,Curauma
CLCRT,Curepto
CLCUR,Curicó
CLDCH,Dalcahue
CLDDA,Diego de Almagro
CLA2T,Domeyko
CLDOH,Doñihue
CL,Easter Island = Isla de Pascua
CLELB,El Bosque
CLELC,El Carmen
CLEML,El Melón
CLELM,El Monte
CLELP,El Palqui
CLELQ,El Quisco
CLESR,El Salvador
CLELT,El Tabo
CLEMP,Empedrado
CLERC,Ercilla
CLESC,Escuadrón
CLECT,Estación Central
CLFLO,Florida
CLFRE,Freire
CLFRN,Freirina
CLFRS,Fresia
CLFRT,Frutillar
CLFFU,Futaleufú
CLFUT,Futrono
CLGAL,Galvarino
CLGIO,Gatico
CLGLG,General Lagos
CLGOR,Gorbea
CLGRA,Graneros
CLGUA,Guaitecas
CLGYC,Guayacán
CLHIJ,Hijuelas
CLHOR,Horcón
CLHPO,Huachipato
CLHUH,Hualaihué
CLHLE,Hualañé
CLHPN,Hualpén
CLHQI,Hualqui
CLHUA,Huara
CLHSO,Huasco
CLHUE,Huechuraba
CLHUL,Huepil
CLRHU,Hurtado
CLIGC,Iglesia Colorada
CLILL,Illapel
CLIND,Independencia
CLIQQ,Iquique
CLIDM,Isla de Maipo
CLIPC,Isla de Pascua
CLISG,Isla Guarello
CLJFZ,Juan Fernández
CLLCL,La Calera
CLLAC,La Chimba
CLLCI,La Cisterna
CLLCZ,La Cruz
CLLES,La Estrella
CLLFL,La Florida
CLLGJ,La Granja
CLLAH,La Higuera
CLLAJ,La Laja
CLLIG,La Ligua
CLLNE,La Negra
CLPAZ,La Paz
CLLPI,La Pintana
CLREI,La Reina
CLLSC,La Serena
CLLUN,La Unión
CLRNC,Lago Ranco
CLLVD,Lago Verde
CLLBL,Laguna Blanca
CLLAM,Lampa
CLLAN,Lanco
CLLCB,Las Cabras
CLLCO,Las Condes
CLLAS,Las Salinas/Quintero
CLLVS,Las Ventanas
CLLAU,Lautaro
CLLEB,Lebu
CLLIC,Licantén
CLLIM,Limache
CLLMR,Limarí
CLLIN,Linares
CLLDR,Linderos
CLLQN,Lirquén
CLLIT,Litueche
CLLIU,Liucura
CLLLA,Llaillay
CLLIA,Llanquihue
CLLLI,Llico
CLLLO,Llolleo
CLLBA,Lo Barnechea
CLLEJ,Lo Espejo
CLLPR,Lo Prado
CLLOL,Lolol
CLLNC,Loncoche
CLLON,Longaví
CLLQY,Lonquimay
CLLUE,Lontué
CLLAL,Los Álamos
CLLND,Los Andes
CLLSQ,Los Ángeles
CLULC,Los Cerrillos Apt/Santiago
CLLLG,Los Lagos
CLLMU,Los Muermos
CLLSA,Los Sauces
CLLVT,Los Vientos
CLLOS,Los Vilos
CLLTA,Lota
CLLUM,Lumaco
CLMCI,Machalí
CLMAC,Macul
CLMAF,Máfil
CLMAI,Maipú
CLMAL,Malloa
CLMCO,Malloco
CLMAR,Marchihue
CLMAE,María Elena
CLMPI,María Pinto
CLMRQ,Mariquina
CLMAU,Maule
CLMLL,Maullín
CLMJS,Mejillones
CLMLI,Melinka
CLMLP,Melipeuco
CLMEL,Melipilla
CLMIC,Michilla
CLMIN,Mininco
CLMOL,Molina
CLMTP,Monte Patria
CLMUL,Mulchén
CLNAC,Nacimiento
CLNCG,Nancagua
CLNAN,Nancahua
CLNAV,Navidad
CLNEG,Negrete
CLNBL,Niebla
CLNIN,Ninhue
CLNPS,Nipas
