BTPBH,Paro
AZGYD,Heydar Aliyev International Apt.
AZIMI,Imisli
AZKMZ,Khachmaz
AZKHA,Khanlar
AZKBD,Kirovabad
AZLAN,Lankaran
AZMGC,Mingechaur
AZNAJ,Naxcivan
AZQDG,Qaradag
AZKAZ,Qazax
AZQUB,Quba
AZQUS,Qusqara
AZSAM,Samaxi
AZSAN,Sangachal
AZSHI,Shirvan
AZSY9,Siyazan
AZSUM,Sumgait
AZSUQ,Sumqayit
AZTOV,Tovuz
AZXIR,Xirdalan
AZYAL,Yalama
AZZAQ,Zaqatala
LOCODE,Name
BDAKH,Akhaura
BDASJ,Ashuganj
BDBZL,Barisal
BDBNP,Benapole
BDBHL,Bhola
BDBRG,Bogura
BDCHL,Chalna
BDCGP,Chattogram
BDCDG,Chuadanga
BDCXB,Cox's Bazar
BDCLA,Cumilla
BDDAC,Dhaka
BDFNI,Feni
BDGAZ,Gazipur
BDGPG,Gopalganj
BDIRD,Ishurdi
BDJSR,Jashore
BDKAM,Kamalapur/Dhaka
BDKHL,Khulna
BDKUS,Kushtia
BDLAK,Laksham
BDMNK,Manikganj
BDMON,Monella
BDMGL,Mongla
BDMBB,Moulvi Bazar
BDMUN,Munshiganj
BDMYM,Mymensingh
BDNAR,Narayanganj
BDDHA,Narsingdi
BDPAN,Pabna
BDPGN,Pangaon
BDPAR,Parbatipur
BDPAY,Payra Port
BDRJH,Rajshahi
BDRAU,Rangpur
BDSPD,Saidpur
BDSDW,Sandwip
BDSAV,Savar
BDZHM,Shamshernagar
BDSSU,Sherpur Sadar Upazila
BDSAJ,Sirajganj
BDZYL,Sylhet
BDTEJ,Tejgaon
BDTKR,Thakurgaon
LOCODE,Name
BHAAL,A'ali
BHADA,Adliya
BHALA,Al Hajar
BHAHD,Al Hidd
BHAMA,Al Ma'amir
BHAMH,Al Manamah
BHGBQ,Al Muharraq
BHBAH,Bahrain International Airport
BHTOW,Hamad Town
BHISA,ISA Air Base
BHJAL,Jidd 'Ali
BHJDF,Jidhafs
BHKBS,Khalifa Bin Salman Port
BHKFC,King Fahed Causeway
BHMTH,Madinat Hamad
BHMIN,Mina Sulman Port
BHQAL,Qalali
BHRAJ,Ras Abu Jarjur
BHRIF,Riffa
BHSAN,Sanad
BHSIT,Sitrah
BHTUB,Tubli
BHUAH,Umm al Hassam
LOCODE,Name
CMBFX,Bafoussam
CMBLC,Bali
CMBPC,Bamenda
CMOUR,Batouri
CMBEL,Bélabo
CMBTA,Bertoua
CMBNB,Bonabéri
CMBUA,Buea
CMCMO,Campo
CMDLA,Douala
CMDSC,Dschang
CMEBW,Ebolowa
CMEBT,Ebomé Terminal
CMEDA,Edéa
CMEKO,Ekok
CMFOM,Foumban
CMGOU,Garoua
CMGRB,Garoua Boulaï
CMKLE,Kaele
CMKOL,Kole Terminal
CMKSI,Kousséri
